#,Heure,Temps au tour,Distance totale,Commentaire
1,16:13:41.11,13:40.34,"4,185",
2,16:26:30.26,12:49.16,"8,37",
3,16:45:53.72,19:23.46,"12,555",Changement de roues - passage en roues pluie
4,16:57:41.50,11:47.79,"16,74",
5,17:09:48.90,12:07.40,"20,925",
6,17:21:38.11,11:49.22,"25,11",
7,17:34:08.08,12:29.97,"29,295",
8,17:48:31.98,14:23.91,"33,48",Ravitaillement sur la zone de relais avec Jérôme
9,18:00:39.60,12:07.62,"37,665",
10,18:13:06.01,12:26.41,"41,85",
11,18:25:01.89,11:55.89,"46,035",
12,18:36:27.46,11:25.58,"50,22",
13,18:47:32.02,11:04.56,"54,405",
14,19:15:49.46,28:17.45,"58,59",Pause
15,19:27:08.60,11:19.14,"62,775",
16,19:38:27.47,11:18.88,"66,96",
17,19:49:30.77,11:03.31,"71,145",
18,20:00:41.26,11:10.49,"75,33",
19,20:20:35.06,19:53.81,"79,515",Pause rapide
20,20:32:12.57,11:37.52,"83,7",
21,20:44:53.04,12:40.47,"87,885",
22,20:57:15.23,12:22.19,"92,07",
23,21:11:00.08,13:44.85,"96,255",
24,22:19:15.01,1:08:14.94,"100,44",Pause repas
25,22:31:00.25,11:45.24,"104,625",
26,22:43:03.53,12:03.28,"108,81",
27,22:55:12.03,12:08.50,"112,995",
28,23:07:22.16,12:10.14,"117,18",
29,23:31:07.40,23:45.24,"121,365",Pause rapide
30,23:43:02.61,11:55.21,"125,55",
31,23:55:15.10,12:12.49,"129,735",
32,00:07:22.84,12:07.75,"133,92",
33,00:19:35.21,12:12.38,"138,105",
34,00:31:50.34,12:15.13,"142,29",
35,00:43:40.87,11:50.54,"146,475",
36,01:11:46.22,28:05.35,"150,66",Pause rapide
37,01:23:47.06,12:00.85,"154,845",
38,01:36:33.80,12:46.74,"159,03",
39,01:49:33.23,12:59.44,"163,215",
40,02:02:09.08,12:35.86,"167,4",
41,03:34:46.04,1:32:36.96,"171,585",Pause longue - massages
42,03:46:34.62,11:48.59,"175,77",
43,03:58:47.16,12:12.54,"179,955",
44,04:11:17.88,12:30.72,"184,14",
45,04:24:07.57,12:49.70,"188,325",
46,04:59:31.17,35:23.60,"192,51",
47,05:11:46.88,12:15.72,"196,695",
48,05:24:32.05,12:45.18,"200,88",
49,08:18:54.69,2:54:22.64,"205,065",Pause dodo :-)
50,08:32:40.03,13:45.34,"209,25",
51,08:45:55.17,13:15.15,"213,435",
52,08:59:23.07,13:27.91,"217,62",
53,09:25:37.24,26:14.17,"221,805",Pause
54,09:38:37.75,13:00.52,"225,99",
55,09:50:37.55,11:59.81,"230,175",
56,10:04:56.87,14:19.33,"234,36",
57,10:32:30.66,27:33.79,"238,545",Pause
58,10:44:49.61,12:18.95,"242,73",
59,10:57:31.33,12:41.73,"246,915",
60,11:23:54.33,26:23.01,"251,1",Pause
61,11:36:04.85,12:10.52,"255,285",
62,11:47:40.45,11:35.61,"259,47",
63,12:18:40.49,31:00.04,"263,655",Pause
64,12:30:58.56,12:18.08,"267,84",
65,12:43:01.51,12:02.96,"272,025",
66,13:05:43.48,22:41.97,"276,21",Pause
67,13:18:42.73,12:59.25,"280,395",
68,13:31:57.32,13:14.59,"284,58",
69,14:01:15.24,29:17.93,"288,765",Pause
70,14:14:27.79,13:12.55,"292,95",
71,14:41:02.11,26:34.32,"297,135",Pause
72,14:53:57.22,12:55.11,"301,32",
73,15:07:21.86,13:24.65,"305,505",
74,15:36:59.86,29:38.00,"309,69",Pause avant le dernier tour
75,16:18:04.28,41:04.42,"313,875","Tour final, regroupement sous le pneu avant arrivée ensemble avec les solos"